"Title","Description","Link","Image","Changelog","Video","Guide/Documentation","Innovation Expert/Partner","Solution Type","ID","Created","Created By","Modified By"
"Link Inspector","A toolkit for automating the testing of hyperlinks in learning assets (such as eLearning).",,"Reserved_ImageAttachment_[5]_[Image][32]_[f4b5967d07874526adb8ae53db5dce5f][1]_[5].png",,"https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/Showcase/Attachments/16/AutomatedLinkTestingDemo.mp4?web=1",,"(INACTIVE) Melanie Singer","Automation","16","11/20/2025 2:13 PM","Mon Blaza","Jed Ortega"
"Replicon Terminology Accuracy Agent","The goal of the agent is to ensure all Replicon-related content consistently uses the correct terminology, maintaining accuracy, clarity, and brand alignment across training, documentation, and communications.
","https://m365.cloud.microsoft:443/chat/?titleId=T_189279da-6f3c-3a21-843e-7c50ecf51f36&source=embedded-builder","Reserved_ImageAttachment_[5]_[Image][32]_[50bb87d562794ab1841bffef8bb760df][1]_[2].png",,,,"Sushmitha Singh","Copilot Agent","17","1/9/2026 2:15 AM","Jed Ortega","Jed Ortega"
"ADO/TFS Work Item Templates","Streamlining work item creation with ADO/TFS templates

Usage
Standardizes and speeds up the creation of recurring work items by:
Saving time through the elimination of repetitive copy-paste steps
Ensuring consistency across work items
Reducing errors and omissions
Making data entry easier to use, automatically populating required fields with just one click
Promoting best practices
Allowing the use of document templates in team onboarding materials","https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/Showcase/Attachments/18/Work%20Item%20Templates_Final.pptx?web=1","Reserved_ImageAttachment_[5]_[Image][32]_[fa2d86ecd8574f9da5556c16b346daf4][1]_[1].png",,"https://delteko365.sharepoint.com/:v:/s/CustomerLearningExperience/IQAJNGvhCCo3QKCWZC6sJ_SqAS0v-A5qQO-5zij_2MAoR-w?e=dHB7dH",,"Danni Canibo","Automation","18","1/9/2026 2:19 AM","Jed Ortega","Jed Ortega"
"Document Update Recommender","Recommends updates to OLH/Admin Guide sections to reflect updated process behavior based on transcript excerpts. Outputs only the updated section, followed by a reasoning table explaining each change at a granular level. Handles special cases for unrelated, incomplete, or conflicting transcript information.

Formerly known as OLH/Admin Guide Update Recommender (aka Mega Prompt)","https://m365.cloud.microsoft:443/chat/?titleId=T_f81e9657-2216-101a-8862-80d77b32f0c2&source=embedded-builder","Reserved_ImageAttachment_[5]_[Image][32]_[36712b63faed49208554633f0b418c8b][1]_[2].png",,"https://delteko365.sharepoint.com/:v:/s/CustomerLearningExperience/IQAz64sf4v7tTKgvCSD7wgn_AWNRYSxOW6wjPtPA9LtyqZ8?e=kFhNOn",,"Jennifer Carr;Bert Niverba","Copilot Agent","19","1/9/2026 2:22 AM","Jed Ortega","Jed Ortega"
"CertQBot (CLX Exam Builder Agent)","A specialized tool for generating certification exam questions for CLX, aligned with content from the Online Help guides to ensure accuracy and relevance.","https://m365.cloud.microsoft/chat/?titleId=T_21fc6b62-6b87-b578-2fd2-82e7a620e508&source=embedded-builder&auth=2","Reserved_ImageAttachment_[5]_[Image][32]_[33a3f14de13e4f4db80df6983a16fb27][2]_[17].png",,"https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/Showcase/Attachments/20/CLX%20Exam%20Builder%20Agent%20(PPM)%20Demo.mp4","https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/Showcase/Attachments/20/CLX%20Exam%20Builder%20Agent%20Documentation.pdf?web=1","Ray Carlo Abacan","Copilot Agent","20","2/10/2026 6:17 AM","Jed Ortega","Jed Ortega"
"Markdown Content Storage (GitHub)","GitHub as source repository for Markdown content starting with the source files from the OH to Markdown conversion effort.

",,"Reserved_ImageAttachment_[5]_[Image][32]_[5b421a2d0f5549ee97b817a97676de5a][2]_[14].png",,,"https://delteko365-my.sharepoint.com/:o:/g/personal/annmargarettmendoza_deltek_com/EmSlyfUyOpdPmN-g-B_WmQgBViKvI2EcjbCzg0XnO3eyWg?e=or6emo","Ann Margarett Mendoza;Matt Briggs","Repository/Storage","21","4/12/2026 10:11 PM","Jed Ortega","Jed Ortega"
"TFS Release Notes Generator","The TFS Release Notes Generator is a web-based tool for creating release notes. It pulls work items directly from TFS, lets you review and filter them based on your team’s needs, and exports the results in Markdown or PDF format. The content comes from the Documentation tab of each work item, which is populated using the Generate Edited Description TFS plugin.","https://devkit.deltek.com/tfs-releasenotes/","Reserved_ImageAttachment_[5]_[Image][32]_[464b0d4f495446ca9cf958f276dc589d][2]_[16].png",,"https://delteko365.sharepoint.com/:v:/s/CustomerLearningExperience-InnovationCenter/IQBx9jmMvIlHTpwT6Reb-TeBAXj39jWPAkYGWNeEGgh0ibA?e=Z8oea4","https://devkit.deltek.com/tfs-releasenotes/documentation.html","Ron Santos;Rochelle Domingo","Automation","22","4/12/2026 10:11 PM","Jed Ortega","Jed Ortega"
"Release Content Assistant ","Release Content Assistant is an AI assistant used with Copilot to help keep release information aligned across formats. It supports Release Highlights, What’s New videos, and What’s New IAGs by adapting the same source to different levels of detail, while following Deltek voice and tone. It’s assistive only and does not invent content.

","https://m365.cloud.microsoft/chat/?titleId=T_c5cdf62e-32c7-994a-bfab-cb8d75030add&source=agentCenterDialog","Reserved_ImageAttachment_[5]_[Image][32]_[d0dff8921d684639851ca4a2084a765d][1]_[8].png",,"https://delteko365.sharepoint.com/:v:/s/CustomerLearningExperience-InnovationCenter/IQBqVgZJs3cZS5AOushcj6UtAYKSHqIlomqDKX6DtGPisWE?e=dbvJnm",,"Kim Adriano","Copilot Agent","23","4/13/2026 10:05 AM","Jed Ortega","Jed Ortega"
"Town Hall Questions Agent","For use around Customer Product Town Halls, particularly in analyzing questions submitted by customers, developing action plans from customer feedback, and responding to customer questions.","https://m365.cloud.microsoft/chat/?titleId=T_73681e55-fbb5-7f5c-f12e-755841b537d9&source=embedded-builder","Reserved_ImageAttachment_[5]_[Image][32]_[8baf5e7e2a784d6f93f9a1ba051d97d4][1]_[5].png",,"https://delteko365.sharepoint.com/:v:/r/sites/CustomerLearningExperience-InnovationCenter/Shared%20Documents/Showcase%20Videos/Townhall%20Questions%20Agent.mp4?csf=1&web=1&e=Y7n9Qh",,"Stacy Hotes-Aprato","Copilot Agent","24","4/13/2026 11:36 PM","Jed Ortega","Jed Ortega"
"DLH Request Forms","Tracker and Form for the following DLH Process: 
Deltek Learning Hub Platform Issues
Deltek Learning Hub Feedback and Enhancement Requests
DLH Content Change & Upload Request","https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/Tracking%20Solutions%20Catalog/AllItems.aspx?FilterField1=Category&FilterValue1=DLH&FilterType1=Choice&FilterDisplay1=DLH&viewid=ff3426f8%2D5c0e%2D477d%2D95ee%2D1590d85ffb4e","Reserved_ImageAttachment_[5]_[Image][32]_[59f6830d71fe4625ab9ac47761e2a6b0][2]_[17].png",,"https://delteko365.sharepoint.com/:v:/r/sites/CustomerLearningExperience-InnovationCenter/Shared%20Documents/Showcase%20Videos/DLH%20Request%20Forms.mp4?csf=1&web=1&e=ovIshf",,"Mon Blaza","Workflow & Tracking Solutions","25","5/15/2026 3:34 AM","Jed Ortega","Jed Ortega"
"AI Colleague (Maconomy)","An AI colleague for the Maconomy Doc team to edit / finalize bug descriptions. The AI is provoked by Editing Status change. Writers will not be involved in bug work at all. ",,"Reserved_ImageAttachment_[5]_[Image][32]_[67877dd921a04082a7d901291d30cd36][1]_[5].png",,"https://delteko365.sharepoint.com/:v:/r/sites/CustomerLearningExperience-InnovationCenter/Shared%20Documents/Showcase%20Videos/AI%20Colleague%20(Maconomy).mp4?csf=1&web=1&e=LDAUMb",,,"GenAI Plug-in for ADO/TFS","27","5/21/2026 9:19 AM","Jed Ortega","Jed Ortega"
"PTO Process Revamp","Revamp of our existing Out of Office process based on what we in CLX PCD A&ICEITPPSSTT team has recently implemented to make things more streamlined through automation.",,"Reserved_ImageAttachment_[5]_[Image][32]_[630e5231013d48ac845211f762b03b63][2]_[17].png",,"https://delteko365.sharepoint.com/:v:/r/sites/CustomerLearningExperience-InnovationCenter/Shared%20Documents/Showcase%20Videos/PTO%20Process.mp4?csf=1&web=1&e=0zMIZA",,"Mon Blaza","Automation","28","5/21/2026 9:28 AM","Jed Ortega","Jed Ortega"
"Markdown Validator","This validator checks all Markdown files within a bundle for formatting, structure, and link issues. It helps quickly identify issues across multiple files in a single run, eliminating the need to review each file individually.","https://delteko365-my.sharepoint.com/:u:/g/personal/vincentbautista_deltek_com/IQCSShxzaKZxTauc3J04ZiYHAVHsby-rxEACmKBfCJqWJ7E","Reserved_ImageAttachment_[5]_[Image][32]_[74929ecfab63458197d2160950f329b1][1]_[5].png",,"https://delteko365-my.sharepoint.com/:v:/g/personal/vincentbautista_deltek_com/IQC_VaVg0rQbTKc_BBDI9dh5AaBk5KLNQlh5SSPxl8XDSn0",,"Vincent Bautista","Automation","29","6/10/2026 12:08 AM","Jed Ortega","Jed Ortega"
"TS to article converter Agent","This agent transforms raw video transcripts into structured, AI-optimized Markdown guides by removing conversational filler, organizing topics logically, and converting buried procedures into numbered steps. It reduces token overhead for AI queries by enabling precise section retrieval instead of full-document scanning, eliminating the need for a live Learning Hub connection each time. The output serves as a reusable, KM-ready knowledge artifact that improves both human discoverability and AI retrieval quality across support workflows.
The processed guide will be included in the videos replacing the transcripts and topics covered sections. This will be implemented moving forward and included in the MD conversion effort.

","https://m365.cloud.microsoft/chat/?titleId=T_316c99d5-cf36-3943-584b-ef936037dbdb",,,,,"Kim Adriano;Bert Niverba","Copilot Agent","30","7/1/2026 9:00 AM","Jed Ortega","Jed Ortega"
"Markdown MegaBundle Processing Tool","A single PowerShell script that automates all documentation fileset processing in one run. Point it at a bundle folder and it handles everything:

Step A — Prefixes image files (media\ or images\) and updates all .md references
Step B — Prefixes all content .md files and rewrites every internal link to match
Registry — Tracks prefixes in .prefix-registry.tsv to prevent collisions across bundles
Step C — Merges the bundle TOC into the master Costpoint_Advanced\index.md (optional)
Multi-folder — Process a single folder, several named folders, or every subfolder inside a parent directory in one call",,,,,,,"Automation","31","7/1/2026 9:01 AM","Jed Ortega","Jed Ortega"
"Innovation Dashboard","CE Innovation Center Dashboard",,,,,,"Jed Ortega","Workflow & Tracking Solutions","32","7/1/2026 9:02 AM","Jed Ortega","Jed Ortega"
