"Project","Item Type","Title","Description","Assigned To","Status","% Complete","Priority","ID","Modified","Created By","Modified By","Attachments"
"Smartsheet to MS List (DLH Request Forms)","Task","Tech Review of the Innovation Prior to Approval",,"Bert Niverba","Completed","100%","High","12","5/8/2026 1:47 AM","Mon Blaza","Mon Blaza","0"
"Markdown Validator","Task","First Stable Build","May 06, 2026&#58; First stable working version of the Markdown Validator.","Vincent Bautista","Completed","100%","High","14","5/12/2026 5:35 AM","Vincent Bautista","Vincent Bautista","0"
"Markdown Validator","Task","Feedback Tracker","May 07, 2026&#58; Established the&#160;<a href=""https&#58;//delteko365-my.sharepoint.com/&#58;x&#58;/g/personal/vincentbautista_deltek_com/IQAjPmznGJlARLgChiXxRvEIAW4LukaeGw1x5xWKoCmE_i8?e=1GyD4R"" style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;background-color&#58;rgb(255, 255, 255);"">FeedbackTracker.xlsx</a> to monitor issues/comments/suggestions regarding the tool.","Vincent Bautista","Completed","100%","High","15","5/12/2026 5:39 AM","Vincent Bautista","Vincent Bautista","0"
"Markdown Validator","Task","Large Scale Test: Costpoint Advanced Online Help","May 8, 2026&#58; Executed the first large-scale testing using the newly converted Costpoint Advanced Online Help.&#160;<p>The tool was able to validate 15k+ .md files in about 6mins.</p><p>Shared the CSV output with Costpoint PCD to verify if the issues flagged by the tool are reflected in DLH-Dev.</p><p>Received positive feedback.</p>","Vincent Bautista","Completed","100%","High","16","5/12/2026 5:44 AM","Vincent Bautista","Vincent Bautista","1"
"Markdown Validator","Task","Use of Git and GitHub","May 12, 2026&#58; Used Git for versioning and created a GitHub repository for easier maintenance.","Vincent Bautista","Completed","100%","Medium","17","5/19/2026 9:34 AM","Vincent Bautista","Vincent Bautista","0"
"Markdown Validator","Task","Walkthrough Video","May 13, 2026 &#58; Completed the&#160;<a href=""https&#58;//delteko365-my.sharepoint.com/&#58;v&#58;/g/personal/vincentbautista_deltek_com/IQC_VaVg0rQbTKc_BBDI9dh5AaBk5KLNQlh5SSPxl8XDSn0"">MarkdownValidatorWalkthrough.mp4</a><br>","Vincent Bautista","Completed","100%","High","18","5/13/2026 5:36 AM","Vincent Bautista","Vincent Bautista","0"
"Markdown Validator","Task","Validator Package Download Link","May 13, 2026&#58; Established the permanent download link for the Markdown Validator package.</div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><p><span style=""background-color&#58;transparent;font-size&#58;11pt;"">It should always provide the latest version of the tool.</span></p><p><a href=""https&#58;//delteko365-my.sharepoint.com/&#58;u&#58;/g/personal/vincentbautista_deltek_com/IQCSShxzaKZxTauc3J04ZiYHAVHsby-rxEACmKBfCJqWJ7E?e=Pq8Ex6"" style=""font-family&#58;Aptos, sans-serif;font-size&#58;11pt;background-color&#58;transparent;""><span style=""color&#58;blue;background&#58;rgb(243, 242, 241);"">&#160;MarkdownValidator.zip</span></a></p>","Vincent Bautista","Not Started","100%","High","19","5/13/2026 7:53 AM","Vincent Bautista","Vincent Bautista","0"
"ArchiSnapper Translation Needs","Task","AI Translation Tool Evaluation","<div style=""font-family&#58;'Segoe UI';font-size&#58;14px;line-height&#58;20px;"">Completed comparison of AI tools (Claude AI vs. Microsoft 365 Copilot) for translating ArchiSnapper Markdown files. Claude AI selected as preferred tool due to better preservation of Markdown structure (images, links, notes, lists).</div><br>","Claude Trono","Completed","100%","High","20","5/15/2026 7:51 AM","Jed Ortega","Jed Ortega","0"
"ArchiSnapper Translation Needs","Task"," Initial DLH Publishing Test","<div style=""font-family&#58;'Segoe UI';font-size&#58;14px;line-height&#58;20px;""> Initial DLH/Zoomin publishing test successfully generated multi-language outputs from separate Markdown bundles</div><br>","Matt Briggs","Completed","100%","High","21","5/15/2026 7:52 AM","Jed Ortega","Jed Ortega","0"
"ArchiSnapper Translation Needs","Task","Review and validate French output","Review all translated sample topics and flag any issues with terminology, natural French phrasing, UI labels, content accuracy, links, notes, or formatting.<br>",,"Not Started","0%",,"22","5/15/2026 7:58 AM","Jed Ortega","Jed Ortega","0"
"ArchiSnapper Translation Needs","Task","Generate Sample Output (French)",,"Claude Trono","Completed","100%","High","23","5/15/2026 7:57 AM","Jed Ortega","Jed Ortega","0"
"ArchiSnapper Translation Needs","Task","Generate Sample Output (Dutch)",,"Claude Trono","In Progress","0%","High","24","5/15/2026 7:59 AM","Jed Ortega","Jed Ortega","0"
"AI Colleague (Maconomy)","Task","AI Colleague CE Demo (Showcase)",,"Orlene Abundo","In Progress","0%","High","25","5/15/2026 8:17 AM","Jed Ortega","Jed Ortega","0"
"Smartsheet Trackers Overhaul (MS List, Automations & Dashboard)","Task","Evaluate Smartsheet formulas ","<ul style=""margin-bottom&#58;0in;margin-top&#58;0in;"">
 <li><span style=""color&#58;black;font-family&#58;Aptos, sans-serif;font-size&#58;12pt;background-color&#58;transparent;"">Remove
      those that are no longer needed</span></li><li><span style=""color&#58;black;font-family&#58;Aptos, sans-serif;font-size&#58;12pt;background-color&#58;transparent;"">List
      all workflows needed including how completed rows will be archived</span></li><li><span style=""color&#58;black;font-family&#58;Aptos, sans-serif;font-size&#58;12pt;background-color&#58;transparent;"">Rework
      the ones that needs to be retained as Workflows in Sharepoint List</span></li><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;"">
 </ul></ul><br>",,"Not Started","0%",,"27","6/29/2026 8:01 AM","Jed Ortega","Jed Ortega","0"
"Smartsheet Trackers Overhaul (MS List, Automations & Dashboard)","Task","Create the MS List Template",,"Ketch Pablo","In Progress","40%",,"28","7/1/2026 8:40 AM","Jed Ortega","Jed Ortega","0"
"Smartsheet Trackers Overhaul (MS List, Automations & Dashboard)","Task","Review all columns (Product Development)","<span style=""font-size&#58;12pt;font-family&#58;calibri;color&#58;black;""><b>Action&#58; </b>Identify what needs to be removed and retained</span><span style=""font-size&#58;12.0pt;font-family&#58;&quot;Aptos&quot;,sans-serif;color&#58;black;""><br></span></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
 </span><li><span style=""color&#58;black;font-family&#58;calibri;font-size&#58;12pt;background-color&#58;transparent;"">Retain&#58;</span></li><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">Product</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">Category</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">Version</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">Asset Type</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">Start Date / Completion Date</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">SME Assigned</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">SME Start Date / SME Complete Date - notification</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">SME Status</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">ISD Assigned</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">ISD Reviewer</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">ISD Status&#160;<span style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">- notification</span></span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">ISD Target Start and Completion dates</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">ISD Actual Done Date (Can be converted to Actual Completion Date workflow)</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">Checklist-style columns&#58;</span></li><ul><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">Review Complete</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">&#160;Upload to Dev Kitchen Complete</span></li><li><span style=""font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">&#160;Upload to DLH Complete</span></li></ul><li><span style=""background-color&#58;transparent;font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">TFS Number + Link</span></li><li><span style=""background-color&#58;transparent;font-size&#58;11pt;color&#58;rgb(0, 0, 0);"">Track certification-related content</span></li><li><span style=""color&#58;rgb(0, 0, 0);font-family&#58;calibri;font-size&#58;11pt;background-color&#58;transparent;"">ISD
       Archive folder link</span></li><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul><span style=""font-family&#58;calibri;"">
  </span></ul><li><span style=""color&#58;black;font-family&#58;calibri;font-size&#58;12pt;background-color&#58;transparent;"">Remove</span></li><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span><li><span style=""color&#58;black;font-family&#58;calibri;font-size&#58;11pt;background-color&#58;transparent;"">ISD
       Source File Archive Folder Link</span></li><li><span style=""color&#58;black;font-family&#58;calibri;font-size&#58;11pt;background-color&#58;transparent;"">ISD
       Materials Checked and Ready for Development</span></li><li><span style=""color&#58;black;font-family&#58;calibri;font-size&#58;11pt;background-color&#58;transparent;"">ISD
       Working Folder – as recent files are shared via email or SharePoint</span></li><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul><span style=""font-family&#58;calibri;"">
 </span></ul></ul><br><br><br><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;"">
 </ul><div><span style=""font-family&#58;calibri;font-size&#58;12pt;""><b>Here's the list of
     columns in the tracker that are generally not used (Not ISD owned)</b></span></div><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
 </span><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul><li><span style=""background-color&#58;transparent;color&#58;black;font-family&#58;calibri;font-size&#58;12pt;"">Predecessors</span></li><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul><li><span style=""background-color&#58;transparent;color&#58;black;font-family&#58;calibri;font-size&#58;12pt;"">Owner
      (Mostly the CM of the product and automatically labeled with the creator
      once in Sharepoint List)</span></li><li><span style=""background-color&#58;transparent;color&#58;black;font-family&#58;calibri;font-size&#58;12pt;"">SME
      Sign Off for Upload</span></li><li><span style=""background-color&#58;transparent;color&#58;black;font-family&#58;calibri;font-size&#58;12pt;"">CM
      Sign Off for Upload</span></li><li><span style=""background-color&#58;transparent;color&#58;black;font-family&#58;calibri;font-size&#58;12pt;"">CM
      Header</span></li><li><span style=""background-color&#58;transparent;color&#58;black;font-family&#58;calibri;font-size&#58;12pt;"">CM
      Product Version</span></li><li><span style=""background-color&#58;transparent;color&#58;black;font-family&#58;calibri;font-size&#58;12pt;"">CM GA
      Date</span></li><li><span style=""background-color&#58;transparent;color&#58;black;font-family&#58;calibri;font-size&#58;12pt;"">CM KO
      Done</span></li><li><span style=""background-color&#58;transparent;color&#58;black;font-family&#58;calibri;font-size&#58;12pt;"">CM-Proj
      Concern</span></li></ul><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul></ul><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul></ul><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul></ul><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul></ul><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul></ul><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul></ul><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
  </span></ul></ul><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><ul style=""margin-bottom&#58;0in;margin-top&#58;0in;""><span style=""font-family&#58;calibri;"">
 </span></ul></ul><br><br><br>","Gian Carlo Almiranez;Anna Dixon;Ketch Pablo","In Progress","100%","High","29","7/1/2026 8:40 AM","Jed Ortega","Jed Ortega","0"
"Smartsheet Trackers Overhaul (MS List, Automations & Dashboard)","Task","Convert topic headers or row section dividers to new columns ",,,"Not Started","0%",,"30","6/29/2026 8:05 AM","Jed Ortega","Jed Ortega","0"
"Smartsheet Trackers Overhaul (MS List, Automations & Dashboard)","Task","Setup Automation/Workflows",,,"Not Started","0%",,"31","6/29/2026 8:09 AM","Jed Ortega","Jed Ortega","0"
